,x,y,hue,year
128,29.44195556640625,-18.29317283630371,8,1961
129,,,9,1961
130,,,10,1961
131,,,11,1961
132,,,12,1961
133,,,13,1961
134,,,14,1961
135,,,15,1961
136,,,16,1961
137,,,17,1961
138,,,18,1961
139,14.383774757385254,13.499465942382812,19,1961
140,,,0,1962
141,-22.670394897460938,86.93323516845703,1,1962
142,,,2,1962
143,,,3,1962
144,,,4,1962
145,,,5,1962
146,,,6,1962
147,,,7,1962
148,29.44195556640625,-18.29317283630371,8,1962
149,,,9,1962
150,,,10,1962
151,,,11,1962
152,,,12,1962
153,,,13,1962
154,,,14,1962
155,,,15,1962
156,,,16,1962
157,,,17,1962
158,,,18,1962
159,,,19,1962
160,,,0,1963
161,-8.364314079284668,102.01546478271484,1,1963
162,,,2,1963
163,,,3,1963
164,,,4,1963
165,,,5,1963
166,,,6,1963
167,,,7,1963
168,,,8,1963
169,,,9,1963
170,,,10,1963
171,,,11,1963
172,,,12,1963
173,,,13,1963
174,,,14,1963
175,,,15,1963
176,,,16,1963
177,,,17,1963
178,,,18,1963
179,,,19,1963
180,,,0,1964
181,-8.364314079284668,102.01546478271484,1,1964
182,,,2,1964
183,,,3,1964
184,,,4,1964
185,-55.623897552490234,-9.35051441192627,5,1964
186,,,6,1964
187,,,7,1964
188,,,8,1964
189,,,9,1964
190,,,10,1964
191,,,11,1964
192,,,12,1964
193,,,13,1964
194,,,14,1964
195,,,15,1964
196,,,16,1964
197,,,17,1964
198,,,18,1964
199,,,19,1964
200,,,0,1965
201,,,1,1965
202,,,2,1965
203,55.418209075927734,35.00551223754883,3,1965
204,,,4,1965
205,-50.885658264160156,8.919319152832031,5,1965
206,,,6,1965
207,,,7,1965
208,-25.93390464782715,-1.2171800136566162,8,1965
209,,,9,1965
210,,,10,1965
211,,,11,1965
212,,,12,1965
213,,,13,1965
214,,,14,1965
215,,,15,1965
216,,,16,1965
217,,,17,1965
218,,,18,1965
219,,,19,1965
220,,,0,1967
221,46.151100158691406,-28.100025177001953,1,1967
222,,,2,1967
223,55.418209075927734,35.00551223754883,3,1967
224,,,4,1967
225,-50.885658264160156,8.919319152832031,5,1967
226,,,6,1967
227,,,7,1967
228,-25.93390464782715,-1.2171800136566162,8,1967
229,,,9,1967
230,,,10,1967
231,,,11,1967
232,,,12,1967
233,,,13,1967
234,,,14,1967
235,,,15,1967
236,,,16,1967
237,,,17,1967
238,,,18,1967
239,,,19,1967
240,-54.67728805541992,-9.639196395874023,0,1969
241,-5.04425573348999,55.1732292175293,1,1969
242,,,2,1969
243,,,3,1969
244,,,4,1969
245,,,5,1969
246,,,6,1969
247,,,7,1969
248,,,8,1969
249,,,9,1969
250,13.511054039001465,-6.7755279541015625,10,1969
251,,,11,1969
252,,,12,1969
253,,,13,1969
254,,,14,1969
255,,,15,1969
256,,,16,1969
257,,,17,1969
258,,,18,1969
259,,,19,1969
260,-54.67728805541992,-9.639196395874023,0,1970
261,9.5342435836792,47.71708297729492,1,1970
262,-9.07264518737793,-53.22767639160156,2,1970
263,,,3,1970
264,,,4,1970
265,,,5,1970
266,,,6,1970
267,,,7,1970
268,,,8,1970
269,,,9,1970
270,-31.055889129638672,-73.6199722290039,10,1970
271,,,11,1970
272,,,12,1970
273,,,13,1970
274,,,14,1970
275,,,15,1970
276,,,16,1970
277,,,17,1970
278,,,18,1970
279,,,19,1970
280,,,0,1971
281,9.5342435836792,47.71708297729492,1,1971
282,-9.07264518737793,-53.22767639160156,2,1971
283,,,3,1971
284,,,4,1971
285,,,5,1971
286,,,6,1971
287,,,7,1971
288,,,8,1971
289,5.143007278442383,-83.96943664550781,9,1971
290,-31.055889129638672,-73.6199722290039,10,1971
291,,,11,1971
292,,,12,1971
293,,,13,1971
294,,,14,1971
295,,,15,1971
296,,,16,1971
297,,,17,1971
298,,,18,1971
299,,,19,1971
300,,,0,1972
301,10.112320899963379,41.51548385620117,1,1972
302,,,2,1972
303,,,3,1972
304,,,4,1972
305,,,5,1972
306,,,6,1972
307,,,7,1972
308,,,8,1972
309,5.143007278442383,-83.96943664550781,9,1972
310,,,10,1972
311,-31.0330867767334,-61.35365295410156,11,1972
312,-8.19979190826416,-14.515049934387207,12,1972
313,,,13,1972
314,,,14,1972
315,,,15,1972
316,,,16,1972
317,,,17,1972
318,,,18,1972
319,-25.82518768310547,-54.816009521484375,19,1972
320,,,0,1973
321,10.112320899963379,41.51548385620117,1,1973
322,-12.107665061950684,-51.838924407958984,2,1973
323,,,3,1973
324,,,4,1973
325,9.671201705932617,-48.85459518432617,5,1973
326,,,6,1973
327,,,7,1973
328,,,8,1973
329,,,9,1973
330,12.335062026977539,-8.20051383972168,10,1973
331,-31.0330867767334,-61.35365295410156,11,1973
332,-8.19979190826416,-14.515049934387207,12,1973
333,40.50471878051758,15.334452629089355,13,1973
334,,,14,1973
335,,,15,1973
336,,,16,1973
337,,,17,1973
338,,,18,1973
339,-25.82518768310547,-54.816009521484375,19,1973
340,,,0,1975
341,-3.225647449493408,96.9322509765625,1,1975
342,-12.107665061950684,-51.838924407958984,2,1975
343,,,3,1975
344,,,4,1975
345,9.671201705932617,-48.85459518432617,5,1975
346,,,6,1975
347,,,7,1975
348,11.961152076721191,-9.133987426757812,8,1975
349,,,9,1975
350,12.335062026977539,-8.20051383972168,10,1975
351,-30.55600929260254,-65.32542419433594,11,1975
352,,,12,1975
353,40.50471878051758,15.334452629089355,13,1975
354,,,14,1975
355,,,15,1975
356,,,16,1975
357,,,17,1975
358,,,18,1975
359,,,19,1975
360,,,0,1976
361,-8.73625373840332,86.1352767944336,1,1976
362,,,2,1976
363,,,3,1976
364,,,4,1976
365,,,5,1976
366,,,6,1976
367,,,7,1976
368,11.961152076721191,-9.133987426757812,8,1976
369,,,9,1976
370,,,10,1976
371,-30.55600929260254,-65.32542419433594,11,1976
372,,,12,1976
373,,,13,1976
374,,,14,1976
375,,,15,1976
376,,,16,1976
377,,,17,1976
378,,,18,1976
379,,,19,1976
380,,,0,1977
381,9.573074340820312,88.98429870605469,1,1977
382,-10.002930641174316,-44.418975830078125,2,1977
383,,,3,1977
384,,,4,1977
385,,,5,1977
386,,,6,1977
387,,,7,1977
388,,,8,1977
389,,,9,1977
390,,,10,1977
391,-29.499542236328125,-62.77955627441406,11,1977
392,,,12,1977
393,,,13,1977
394,,,14,1977
395,,,15,1977
396,,,16,1977
397,-35.33580780029297,-51.118526458740234,17,1977
398,,,18,1977
399,,,19,1977
400,,,0,1979
401,-13.794576644897461,108.28228759765625,1,1979
402,-10.002930641174316,-44.418975830078125,2,1979
403,,,3,1979
404,,,4,1979
405,,,5,1979
406,,,6,1979
407,,,7,1979
408,,,8,1979
409,16.13692855834961,-74.49781799316406,9,1979
410,,,10,1979
411,-29.499542236328125,-62.77955627441406,11,1979
412,,,12,1979
413,,,13,1979
414,,,14,1979
415,,,15,1979
416,,,16,1979
417,-35.33580780029297,-51.118526458740234,17,1979
418,,,18,1979
419,,,19,1979
420,,,0,1980
421,-1.7681101560592651,109.19672393798828,1,1980
422,,,2,1980
423,,,3,1980
424,,,4,1980
425,,,5,1980
426,,,6,1980
427,,,7,1980
428,,,8,1980
429,16.13692855834961,-74.49781799316406,9,1980
430,,,10,1980
431,,,11,1980
432,,,12,1980
433,,,13,1980
434,,,14,1980
435,,,15,1980
436,,,16,1980
437,,,17,1980
438,,,18,1980
439,,,19,1980
440,,,0,1981
441,-6.231100082397461,85.92361450195312,1,1981
442,,,2,1981
443,,,3,1981
444,,,4,1981
445,,,5,1981
446,,,6,1981
447,,,7,1981
448,,,8,1981
449,,,9,1981
450,,,10,1981
451,,,11,1981
452,,,12,1981
453,,,13,1981
454,,,14,1981
455,,,15,1981
456,,,16,1981
457,,,17,1981
458,,,18,1981
459,,,19,1981
460,,,0,1982
461,3.2068119049072266,91.74844360351562,1,1982
462,,,2,1982
463,,,3,1982
464,,,4,1982
465,,,5,1982
466,,,6,1982
467,,,7,1982
468,,,8,1982
469,,,9,1982
470,,,10,1982
471,,,11,1982
472,,,12,1982
473,,,13,1982
474,,,14,1982
475,,,15,1982
476,,,16,1982
477,,,17,1982
478,,,18,1982
479,,,19,1982
480,,,0,1984
481,3.2068119049072266,91.74844360351562,1,1984
482,,,2,1984
483,,,3,1984
484,,,4,1984
485,,,5,1984
486,,,6,1984
487,,,7,1984
488,,,8,1984
489,,,9,1984
490,,,10,1984
491,,,11,1984
492,,,12,1984
493,,,13,1984
494,,,14,1984
495,,,15,1984
496,,,16,1984
497,,,17,1984
498,,,18,1984
499,-13.393427848815918,-118.94388580322266,19,1984
500,,,0,1985
501,-12.484628677368164,99.89173889160156,1,1985
502,,,2,1985
503,,,3,1985
504,,,4,1985
505,,,5,1985
506,,,6,1985
507,,,7,1985
508,,,8,1985
509,,,9,1985
510,,,10,1985
511,,,11,1985
512,,,12,1985
513,,,13,1985
514,,,14,1985
515,,,15,1985
516,,,16,1985
517,,,17,1985
518,,,18,1985
519,-13.393427848815918,-118.94388580322266,19,1985
520,,,0,1987
521,-12.484628677368164,99.89173889160156,1,1987
522,,,2,1987
523,,,3,1987
524,,,4,1987
525,,,5,1987
526,,,6,1987
527,,,7,1987
528,,,8,1987
529,,,9,1987
530,,,10,1987
531,-35.83858871459961,-57.113033294677734,11,1987
532,,,12,1987
533,,,13,1987
534,,,14,1987
535,,,15,1987
536,,,16,1987
537,,,17,1987
538,,,18,1987
539,,,19,1987
540,-55.9043083190918,-8.800498962402344,0,1988
541,38.7766227722168,-39.70430374145508,1,1988
542,,,2,1988
543,,,3,1988
544,,,4,1988
545,,,5,1988
546,,,6,1988
547,,,7,1988
548,,,8,1988
549,,,9,1988
550,,,10,1988
551,-35.83858871459961,-57.113033294677734,11,1988
552,,,12,1988
553,,,13,1988
554,,,14,1988
555,,,15,1988
556,,,16,1988
557,,,17,1988
558,,,18,1988
559,,,19,1988
560,-55.9043083190918,-8.800498962402344,0,1991
561,3.8541526794433594,57.78196716308594,1,1991
562,,,2,1991
563,-35.02541732788086,-56.7703742980957,3,1991
564,,,4,1991
565,-35.68815231323242,-61.93455123901367,5,1991
566,,,6,1991
567,,,7,1991
568,,,8,1991
569,,,9,1991
570,,,10,1991
571,,,11,1991
572,,,12,1991
573,-53.246978759765625,-50.01807403564453,13,1991
574,,,14,1991
575,34.31978988647461,17.510835647583008,15,1991
576,-31.142745971679688,-72.31169891357422,16,1991
577,,,17,1991
578,-26.697227478027344,-23.741058349609375,18,1991
579,,,19,1991
580,-52.029869079589844,4.579568862915039,0,1992
581,-0.5158016085624695,71.46720123291016,1,1992
582,-10.211079597473145,-44.58876037597656,2,1992
583,54.068172454833984,22.592199325561523,3,1992
584,,,4,1992
585,-50.976722717285156,-1.9265745878219604,5,1992
586,,,6,1992
587,-50.934417724609375,9.5906400680542,7,1992
588,-15.07524585723877,-5.652568817138672,8,1992
589,,,9,1992
590,,,10,1992
591,-35.49325180053711,-57.98447799682617,11,1992
592,-15.022480964660645,-11.096664428710938,12,1992
593,-12.739447593688965,-118.30732727050781,13,1992
594,-19.166980743408203,-3.8946943283081055,14,1992
595,47.63584518432617,16.086423873901367,15,1992
596,-31.142745971679688,-72.31169891357422,16,1992
597,,,17,1992
598,-26.697227478027344,-23.741058349609375,18,1992
599,-13.510987281799316,-116.39901733398438,19,1992
600,-52.029869079589844,4.579568862915039,0,1993
601,-0.5518913865089417,77.24401092529297,1,1993
602,-14.18681526184082,-50.48747253417969,2,1993
603,54.068172454833984,22.592199325561523,3,1993
604,,,4,1993
605,40.278263092041016,14.027362823486328,5,1993
606,15.392610549926758,-16.59185028076172,6,1993
607,-29.200153350830078,-62.65022277832031,7,1993
608,-42.845237731933594,1.2054972648620605,8,1993
609,14.538496971130371,-77.24675750732422,9,1993
610,,,10,1993
611,-35.49325180053711,-57.98447799682617,11,1993
612,-8.039694786071777,-28.955888748168945,12,1993
613,-12.739447593688965,-118.30732727050781,13,1993
614,-19.166980743408203,-3.8946943283081055,14,1993
615,39.841461181640625,11.553628921508789,15,1993
616,,,16,1993
617,,,17,1993
618,,,18,1993
619,-13.510987281799316,-116.39901733398438,19,1993
620,-23.82309341430664,-2.8920652866363525,0,1994
621,8.26460075378418,58.51078414916992,1,1994
622,-16.41225242614746,-54.12324142456055,2,1994
623,55.25516891479492,33.48340606689453,3,1994
624,,,4,1994
625,40.278263092041016,14.027362823486328,5,1994
626,15.392610549926758,-16.59185028076172,6,1994
627,-29.200153350830078,-62.65022277832031,7,1994
628,-53.710044860839844,8.148497581481934,8,1994
629,-52.725852966308594,-48.835350036621094,9,1994
630,,,10,1994
631,-16.939985275268555,-56.25667190551758,11,1994
632,-8.039694786071777,-28.955888748168945,12,1994
633,-8.146708488464355,-36.53325653076172,13,1994
634,,,14,1994
635,39.841461181640625,11.553628921508789,15,1994
636,-31.166608810424805,-71.88685607910156,16,1994
637,-35.4539909362793,-51.21894073486328,17,1994
638,,,18,1994
639,-13.870878219604492,-115.90853118896484,19,1994
640,-23.82309341430664,-2.8920652866363525,0,1995
641,-0.3436804711818695,86.45086669921875,1,1995
642,-14.755605697631836,-52.634769439697266,2,1995
643,25.33247947692871,16.737285614013672,3,1995
644,,,4,1995
645,,,5,1995
646,,,6,1995
647,-49.290740966796875,9.765260696411133,7,1995
648,-53.710044860839844,8.148497581481934,8,1995
649,16.08493423461914,-77.2742691040039,9,1995
650,,,10,1995
651,-16.939985275268555,-56.25667190551758,11,1995
652,-14.264718055725098,-11.294875144958496,12,1995
653,-8.146708488464355,-36.53325653076172,13,1995
654,,,14,1995
655,,,15,1995
656,-31.166608810424805,-71.88685607910156,16,1995
657,-35.4539909362793,-51.21894073486328,17,1995
658,,,18,1995
659,-13.870878219604492,-115.90853118896484,19,1995
660,-44.65913391113281,-2.5373148918151855,0,1996
661,-1.4224441051483154,80.98921203613281,1,1996
662,-9.919200897216797,-50.78678512573242,2,1996
663,54.02559280395508,28.116289138793945,3,1996
664,,,4,1996
665,-49.69255447387695,-47.21102523803711,5,1996
666,-33.74798583984375,82.04959869384766,6,1996
667,-49.290740966796875,9.765260696411133,7,1996
668,,,8,1996
669,16.08493423461914,-77.2742691040039,9,1996
670,,,10,1996
671,-31.137828826904297,-64.703369140625,11,1996
672,-11.680245399475098,-13.678277015686035,12,1996
673,-53.369510650634766,-48.923831939697266,13,1996
674,,,14,1996
675,,,15,1996
676,31.14731788635254,-52.316551208496094,16,1996
677,,,17,1996
678,,,18,1996
679,,,19,1996
680,-57.113922119140625,-8.622509002685547,0,1997
681,-0.5485976338386536,79.78076934814453,1,1997
682,15.498039245605469,-17.168418884277344,2,1997
683,54.02559280395508,28.116289138793945,3,1997
684,0.8636929988861084,-45.67909240722656,4,1997
685,-49.733299255371094,2.3872225284576416,5,1997
686,-33.74798583984375,82.04959869384766,6,1997
687,,,7,1997
688,-32.3379020690918,-3.320577383041382,8,1997
689,19.593826293945312,-72.38226318359375,9,1997
690,37.11359405517578,7.026525974273682,10,1997
691,-31.137828826904297,-64.703369140625,11,1997
692,-14.910293579101562,-12.175347328186035,12,1997
693,-53.369510650634766,-48.923831939697266,13,1997
694,,,14,1997
695,,,15,1997
696,31.14731788635254,-52.316551208496094,16,1997
697,,,17,1997
698,,,18,1997
699,,,19,1997
700,-57.113922119140625,-8.622509002685547,0,1998
701,7.3775434494018555,51.69773483276367,1,1998
702,15.498039245605469,-17.168418884277344,2,1998
703,,,3,1998
704,0.8636929988861084,-45.67909240722656,4,1998
705,-50.13885498046875,1.463620901107788,5,1998
706,-33.859947204589844,82.66122436523438,6,1998
707,-49.51578903198242,5.401653289794922,7,1998
708,-34.17239761352539,-4.596770763397217,8,1998
709,19.593826293945312,-72.38226318359375,9,1998
710,37.11359405517578,7.026525974273682,10,1998
711,-34.64358901977539,-61.15615463256836,11,1998
712,-14.910293579101562,-12.175347328186035,12,1998
713,,,13,1998
714,,,14,1998
715,,,15,1998
716,,,16,1998
717,,,17,1998
718,,,18,1998
719,,,19,1998
720,-46.89328384399414,7.103143215179443,0,1999
721,-0.3333122134208679,73.58219146728516,1,1999
722,,,2,1999
723,,,3,1999
724,,,4,1999
725,-50.13885498046875,1.463620901107788,5,1999
726,-33.859947204589844,82.66122436523438,6,1999
727,-49.51578903198242,5.401653289794922,7,1999
728,-34.17239761352539,-4.596770763397217,8,1999
729,,,9,1999
730,,,10,1999
731,-34.64358901977539,-61.15615463256836,11,1999
732,,,12,1999
733,-8.13881778717041,-36.508113861083984,13,1999
734,,,14,1999
735,,,15,1999
736,,,16,1999
737,,,17,1999
738,,,18,1999
739,,,19,1999
740,-46.89328384399414,7.103143215179443,0,2000
741,-7.138912677764893,92.26253509521484,1,2000
742,,,2,2000
743,,,3,2000
744,,,4,2000
745,-50.74393081665039,-7.109757900238037,5,2000
746,,,6,2000
747,,,7,2000
748,,,8,2000
749,,,9,2000
750,,,10,2000
751,-27.16280174255371,-58.336708068847656,11,2000
752,,,12,2000
753,-8.13881778717041,-36.508113861083984,13,2000
754,-19.58189582824707,-39.36200714111328,14,2000
755,,,15,2000
756,,,16,2000
757,,,17,2000
758,,,18,2000
759,,,19,2000
760,-41.057254791259766,-1.612076759338379,0,2001
761,-8.807878494262695,99.04865264892578,1,2001
762,,,2,2001
763,40.714656829833984,15.968011856079102,3,2001
764,0.7145295143127441,-45.67380905151367,4,2001
765,-50.74393081665039,-7.109757900238037,5,2001
766,,,6,2001
767,,,7,2001
768,,,8,2001
769,21.508922576904297,-72.15079498291016,9,2001
770,,,10,2001
771,-27.16280174255371,-58.336708068847656,11,2001
772,,,12,2001
773,,,13,2001
774,-19.58189582824707,-39.36200714111328,14,2001
775,,,15,2001
776,,,16,2001
777,50.8213996887207,-21.216888427734375,17,2001
778,,,18,2001
779,13.400787353515625,10.799012184143066,19,2001
780,-41.057254791259766,-1.612076759338379,0,2002
781,6.963924884796143,57.38115692138672,1,2002
782,-12.1295804977417,-51.72798156738281,2,2002
783,53.38026428222656,23.62472915649414,3,2002
784,0.7145295143127441,-45.67380905151367,4,2002
785,36.53675842285156,6.130251884460449,5,2002
786,,,6,2002
787,,,7,2002
788,29.13653564453125,-6.500766754150391,8,2002
789,21.508922576904297,-72.15079498291016,9,2002
790,,,10,2002
791,,,11,2002
792,,,12,2002
793,,,13,2002
794,,,14,2002
795,,,15,2002
796,,,16,2002
797,50.8213996887207,-21.216888427734375,17,2002
798,,,18,2002
799,-26.510068893432617,-21.19362449645996,19,2002
800,,,0,2003
801,12.039093971252441,42.659523010253906,1,2003
802,-12.1295804977417,-51.72798156738281,2,2003
803,53.40604782104492,28.579666137695312,3,2003
804,,,4,2003
805,-50.80817413330078,0.9029483795166016,5,2003
806,,,6,2003
807,,,7,2003
808,-32.68645095825195,-4.552797794342041,8,2003
809,13.255897521972656,-78.51229858398438,9,2003
810,-27.11252784729004,-17.62004852294922,10,2003
811,,,11,2003
812,,,12,2003
813,,,13,2003
814,,,14,2003
815,,,15,2003
816,52.202293395996094,-21.31744956970215,16,2003
817,,,17,2003
818,,,18,2003
819,-26.510068893432617,-21.19362449645996,19,2003
820,,,0,2004
821,11.383540153503418,52.921146392822266,1,2004
822,-15.867819786071777,-55.19331359863281,2,2004
823,53.40604782104492,28.579666137695312,3,2004
824,6.705960750579834,-86.84061431884766,4,2004
825,9.68584156036377,-48.805137634277344,5,2004
826,-23.676910400390625,-7.618339538574219,6,2004
827,,,7,2004
828,-37.929718017578125,-5.040903568267822,8,2004
829,13.255897521972656,-78.51229858398438,9,2004
830,-27.11252784729004,-17.62004852294922,10,2004
831,,,11,2004
832,-12.430497169494629,-0.26715272665023804,12,2004
833,1.6977250576019287,-33.389801025390625,13,2004
834,-19.650115966796875,-39.35725402832031,14,2004
835,,,15,2004
836,6.78761625289917,-86.06949615478516,16,2004
837,,,17,2004
838,-26.40567970275879,-21.217546463012695,18,2004
839,12.640993118286133,5.722140312194824,19,2004
840,-21.460132598876953,-6.247183322906494,0,2005
841,35.59363555908203,-29.762035369873047,1,2005
842,-15.867819786071777,-55.19331359863281,2,2005
843,,,3,2005
844,6.705960750579834,-86.84061431884766,4,2005
845,9.68584156036377,-48.805137634277344,5,2005
846,-23.676910400390625,-7.618339538574219,6,2005
847,,,7,2005
848,-37.929718017578125,-5.040903568267822,8,2005
849,,,9,2005
850,15.542198181152344,-7.76997709274292,10,2005
851,10.557130813598633,4.535686492919922,11,2005
852,-12.114484786987305,0.28999918699264526,12,2005
853,1.6977250576019287,-33.389801025390625,13,2005
854,-19.650115966796875,-39.35725402832031,14,2005
855,,,15,2005
856,6.78761625289917,-86.06949615478516,16,2005
857,,,17,2005
858,-26.40567970275879,-21.217546463012695,18,2005
859,12.640993118286133,5.722140312194824,19,2005
860,-21.460132598876953,-6.247183322906494,0,2006
861,8.21777057647705,34.4583854675293,1,2006
862,,,2,2006
863,51.87199401855469,28.88146209716797,3,2006
864,,,4,2006
865,,,5,2006
866,,,6,2006
867,,,7,2006
868,-38.204105377197266,-4.261767864227295,8,2006
869,-11.9486722946167,-58.705848693847656,9,2006
870,8.845952987670898,3.4588332176208496,10,2006
871,10.557130813598633,4.535686492919922,11,2006
872,-12.114484786987305,0.28999918699264526,12,2006
873,1.5861150026321411,-34.7242431640625,13,2006
874,-13.476507186889648,-117.46113586425781,14,2006
875,,,15,2006
876,,,16,2006
877,,,17,2006
878,,,18,2006
879,12.517627716064453,12.128256797790527,19,2006
880,,,0,2007
881,17.592323303222656,21.774274826049805,1,2007
882,,,2,2007
883,55.146018981933594,35.64557647705078,3,2007
884,,,4,2007
885,,,5,2007
886,,,6,2007
887,,,7,2007
888,-38.204105377197266,-4.261767864227295,8,2007
889,9.98958969116211,-82.24134826660156,9,2007
890,8.845952987670898,3.4588332176208496,10,2007
891,,,11,2007
892,,,12,2007
893,3.9814605712890625,-34.758426666259766,13,2007
894,-13.476507186889648,-117.46113586425781,14,2007
895,37.538883209228516,7.677684307098389,15,2007
896,,,16,2007
897,,,17,2007
898,,,18,2007
899,13.748305320739746,11.930484771728516,19,2007
900,,,0,2008
901,8.81998348236084,29.66058349609375,1,2008
902,,,2,2008
903,55.146018981933594,35.64557647705078,3,2008
904,,,4,2008
905,39.678955078125,11.03196907043457,5,2008
906,,,6,2008
907,,,7,2008
908,,,8,2008
909,27.487836837768555,-24.40869903564453,9,2008
910,,,10,2008
911,,,11,2008
912,,,12,2008
913,3.9814605712890625,-34.758426666259766,13,2008
914,,,14,2008
915,37.538883209228516,7.677684307098389,15,2008
916,,,16,2008
917,-10.695503234863281,-60.8280143737793,17,2008
918,16.67441749572754,-69.58467864990234,18,2008
919,13.808870315551758,15.04340934753418,19,2008
920,,,0,2009
921,20.914365768432617,16.115440368652344,1,2009
922,,,2,2009
923,50.408958435058594,23.458614349365234,3,2009
924,,,4,2009
925,39.678955078125,11.03196907043457,5,2009
926,,,6,2009
927,,,7,2009
928,,,8,2009
929,11.575270652770996,-80.84954071044922,9,2009
930,,,10,2009
931,,,11,2009
932,-19.822063446044922,-5.4978108406066895,12,2009
933,0.27842772006988525,-34.314308166503906,13,2009
934,,,14,2009
935,,,15,2009
936,,,16,2009
937,-11.611274719238281,-59.29226303100586,17,2009
938,16.67441749572754,-69.58467864990234,18,2009
939,-1.5922837257385254,-52.199344635009766,19,2009
940,,,0,2010
941,26.45564079284668,0.2780919075012207,1,2010
942,,,2,2010
943,56.493717193603516,37.49031448364258,3,2010
944,,,4,2010
945,,,5,2010
946,,,6,2010
947,,,7,2010
948,,,8,2010
949,11.575270652770996,-80.84954071044922,9,2010
950,,,10,2010
951,,,11,2010
952,-19.822063446044922,-5.4978108406066895,12,2010
953,0.27842772006988525,-34.314308166503906,13,2010
954,0.3921928405761719,-3.502791166305542,14,2010
955,,,15,2010
956,,,16,2010
957,-11.611274719238281,-59.29226303100586,17,2010
958,,,18,2010
959,12.786853790283203,13.099605560302734,19,2010
960,,,0,2011
961,11.763209342956543,26.766765594482422,1,2011
962,,,2,2011
963,56.493717193603516,37.49031448364258,3,2011
964,8.613869667053223,-81.85816955566406,4,2011
965,,,5,2011
966,,,6,2011
967,,,7,2011
968,-33.443180084228516,-9.508162498474121,8,2011
969,,,9,2011
970,,,10,2011
971,,,11,2011
972,,,12,2011
973,,,13,2011
974,0.3921928405761719,-3.502791166305542,14,2011
975,,,15,2011
976,,,16,2011
977,,,17,2011
978,,,18,2011
979,12.786853790283203,13.099605560302734,19,2011
980,,,0,2012
981,-4.795229434967041,102.85556030273438,1,2012
982,,,2,2012
983,50.76398468017578,24.08251953125,3,2012
984,8.613869667053223,-81.85816955566406,4,2012
985,,,5,2012
986,,,6,2012
987,,,7,2012
988,-33.443180084228516,-9.508162498474121,8,2012
989,17.145755767822266,-71.1509017944336,9,2012
990,,,10,2012
991,,,11,2012
992,,,12,2012
993,,,13,2012
994,,,14,2012
995,,,15,2012
996,,,16,2012
997,6.596060752868652,-81.38482666015625,17,2012
998,,,18,2012
999,,,19,2012
1000,,,0,2013
1001,5.480441093444824,84.5170669555664,1,2013
1002,,,2,2013
